"group","context","x","y","n","r","p"
"ALL_","all","sRPE","TRIMP_min",1502,0.395,"< .001"
"ALL_","all","sRPE","HR_avg_pct_max",1502,0.476,"< .001"
"ALL_","all","sRPE","HR80_pct_rd",1502,0.394,"< .001"
"ALL_","all","sRPE","HR_peak",1502,0.301,"< .001"
"ALL_","all","sRPE_TL_exposure","TRIMP",1233,-0.12,"< .001"
"ALL_","all","sRPE_TL_exposure","HR80_mins",1233,0.038,"0.186"
"ALL_","practice","sRPE","TRIMP_min",1075,0.428,"< .001"
"ALL_","practice","sRPE","HR_avg_pct_max",1075,0.426,"< .001"
"ALL_","practice","sRPE","HR80_pct_rd",1075,0.43,"< .001"
"ALL_","practice","sRPE","HR_peak",1075,0.236,"< .001"
"ALL_","practice","sRPE_TL_exposure","TRIMP",1075,0.668,"< .001"
"ALL_","practice","sRPE_TL_exposure","HR80_mins",1075,0.563,"< .001"
"ALL_","game","sRPE","TRIMP_min",427,0.403,"< .001"
"ALL_","game","sRPE","HR_avg_pct_max",427,0.388,"< .001"
"ALL_","game","sRPE","HR80_pct_rd",427,0.422,"< .001"
"ALL_","game","sRPE","HR_peak",427,-0.001,"0.981"
"ALL_","game","sRPE_TL_exposure","TRIMP",158,0.387,"< .001"
"ALL_","game","sRPE_TL_exposure","HR80_mins",158,0.549,"< .001"
