"group","context","x","y","n_obs","n_subjects","r_rm","ci_lower","ci_upper","p"
"ALL_","all","sRPE","TRIMP_min",1502,19,0.419,0.376,0.46,"< .001"
"ALL_","all","sRPE","HR_avg_pct_max",1502,19,0.521,0.483,0.557,"< .001"
"ALL_","all","sRPE","HR80_pct_rd",1502,19,0.418,0.375,0.459,"< .001"
"ALL_","all","sRPE","HR_peak",1502,19,0.485,0.445,0.523,"< .001"
"ALL_","all","sRPE_TL_exposure","TRIMP",1233,19,-0.139,-0.194,-0.084,"< .001"
"ALL_","all","sRPE_TL_exposure","HR80_mins",1233,19,0.03,-0.026,0.087,"0.289"
"ALL_","practice","sRPE","TRIMP_min",1075,19,0.493,0.446,0.537,"< .001"
"ALL_","practice","sRPE","HR_avg_pct_max",1075,19,0.504,0.458,0.548,"< .001"
"ALL_","practice","sRPE","HR80_pct_rd",1075,19,0.493,0.446,0.537,"< .001"
"ALL_","practice","sRPE","HR_peak",1075,19,0.383,0.33,0.433,"< .001"
"ALL_","practice","sRPE_TL_exposure","TRIMP",1075,19,0.731,0.702,0.758,"< .001"
"ALL_","practice","sRPE_TL_exposure","HR80_mins",1075,19,0.62,0.582,0.656,"< .001"
"ALL_","game","sRPE","TRIMP_min",427,19,0.364,0.277,0.445,"< .001"
"ALL_","game","sRPE","HR_avg_pct_max",427,19,0.366,0.279,0.447,"< .001"
"ALL_","game","sRPE","HR80_pct_rd",427,19,0.393,0.308,0.472,"< .001"
"ALL_","game","sRPE","HR_peak",427,19,0.075,-0.022,0.171,"0.13"
"ALL_","game","sRPE_TL_exposure","TRIMP",158,19,0.407,0.259,0.537,"< .001"
"ALL_","game","sRPE_TL_exposure","HR80_mins",158,19,0.567,0.443,0.67,"< .001"
