"model","outcome","model_type","term","estimate","std_error","t_value","p_value","ci_lower","ci_upper","R2_marginal","R2_conditional","AIC","BIC","random_intercept_var","random_slope_var","random_intercept_slope_cor","residual_var"
"TRIMP","sRPE_TL_exposure","RI","(Intercept)",554.195878395097,12.8157609988592,43.2433063042007,3.71362117072138e-21,529.07744840286,579.314308387334,0.65194135614033,0.726777929380584,14878.8511790637,14914.6716175858,2719.87931939948,NA,NA,9930.0519425915
"TRIMP","sRPE_TL_exposure","RI","TRIMP_within_z",228.297607024959,6.26990824228161,36.4116344614769,3.92944868393237e-197,216.008812683716,240.586401366201,0.65194135614033,0.726777929380584,14878.8511790637,14914.6716175858,2719.87931939948,NA,NA,9930.0519425915
"TRIMP","sRPE_TL_exposure","RI","TRIMP_between_z",37.8598183279159,12.0921849366967,3.13093279056799,0.00603253387871644,14.1595713575926,61.5600652982391,0.65194135614033,0.726777929380584,14878.8511790637,14914.6716175858,2719.87931939948,NA,NA,9930.0519425915
"TRIMP","sRPE_TL_exposure","RI","context_fgame",-488.087908108237,21.6433657226752,-22.5513866171415,2.46497519915331e-94,-530.508125428909,-445.667690787565,0.65194135614033,0.726777929380584,14878.8511790637,14914.6716175858,2719.87931939948,NA,NA,9930.0519425915
"TRIMP","sRPE_TL_exposure","RI","TRIMP_within_z:context_fgame",-203.725391519142,15.951338509785,-12.7716800313761,3.86243851478293e-35,-234.989440503528,-172.461342534757,0.65194135614033,0.726777929380584,14878.8511790637,14914.6716175858,2719.87931939948,NA,NA,9930.0519425915
"HR80_mins","sRPE_TL_exposure","RI","(Intercept)",488.938744442843,11.6799228349944,41.8614704352264,6.59897899829449e-20,466.046516344047,511.830972541639,0.567549292286483,0.632002410031503,15198.9312339645,15234.7516724867,2267.89134757698,NA,NA,12948.6141154627
"HR80_mins","sRPE_TL_exposure","RI","HR80_mins_within_z",135.7654334166,5.01966843942671,27.0466934330239,1.32505980473921e-126,125.927064060991,145.603802772208,0.567549292286483,0.632002410031503,15198.9312339645,15234.7516724867,2267.89134757698,NA,NA,12948.6141154627
"HR80_mins","sRPE_TL_exposure","RI","HR80_mins_between_z",22.459660797461,11.5513552333067,1.94433123593167,0.0685928597382645,-0.180579432448411,45.0999010273704,0.567549292286483,0.632002410031503,15198.9312339645,15234.7516724867,2267.89134757698,NA,NA,12948.6141154627
"HR80_mins","sRPE_TL_exposure","RI","context_fgame",-412.024161931,16.6359917236454,-24.7670333560802,5.73917569463252e-110,-444.630106556452,-379.418217305549,0.567549292286483,0.632002410031503,15198.9312339645,15234.7516724867,2267.89134757698,NA,NA,12948.6141154627
"HR80_mins","sRPE_TL_exposure","RI","HR80_mins_within_z:context_fgame",-109.7355711148,13.5536910644143,-8.09636065875185,1.364373829923e-15,-136.300317458635,-83.1708247709661,0.567549292286483,0.632002410031503,15198.9312339645,15234.7516724867,2267.89134757698,NA,NA,12948.6141154627
"TRIMP","sRPE_TL_exposure","RS","(Intercept)",553.16755087212,12.1543904435584,45.5117476636017,8.19854537362711e-22,529.345383348708,576.989718395532,0.649645589650313,0.72892715008793,14872.509905649,14918.5647551775,2408.13589033944,283.039977352643,-403.268010483153,9759.07997590399
"TRIMP","sRPE_TL_exposure","RS","TRIMP_within_z",227.734304716722,7.33486319405135,31.048200721919,5.67371100126476e-40,213.358237024853,242.110372408591,0.649645589650313,0.72892715008793,14872.509905649,14918.5647551775,2408.13589033944,283.039977352643,-403.268010483153,9759.07997590399
"TRIMP","sRPE_TL_exposure","RS","TRIMP_between_z",39.138584720831,11.0155042602701,3.55304521664007,0.00238626099692121,17.5485930991541,60.7285763425079,0.649645589650313,0.72892715008793,14872.509905649,14918.5647551775,2408.13589033944,283.039977352643,-403.268010483153,9759.07997590399
"TRIMP","sRPE_TL_exposure","RS","context_fgame",-490.005738028396,21.6940844158228,-22.5870669919126,4.57098371327772e-94,-532.52536216098,-447.486113895812,0.649645589650313,0.72892715008793,14872.509905649,14918.5647551775,2408.13589033944,283.039977352643,-403.268010483153,9759.07997590399
"TRIMP","sRPE_TL_exposure","RS","TRIMP_within_z:context_fgame",-198.628443197139,15.9712383031874,-12.436633868114,1.83081342019475e-33,-229.931495059893,-167.325391334386,0.649645589650313,0.72892715008793,14872.509905649,14918.5647551775,2408.13589033944,283.039977352643,-403.268010483153,9759.07997590399
"HR80_mins","sRPE_TL_exposure","RS","(Intercept)",487.899765256172,11.2203033234234,43.4836520183584,2.55703148793931e-20,465.908374846647,509.891155665697,0.564504020641064,0.640248971784516,15185.1454375164,15231.2002870449,2071.4544120194,518.951358218594,-339.81585105676,12580.7415959401
"HR80_mins","sRPE_TL_exposure","RS","HR80_mins_within_z",136.496762177041,7.25841045459524,18.8053242553439,2.11262364977381e-17,122.270539101026,150.722985253057,0.564504020641064,0.640248971784516,15185.1454375164,15231.2002870449,2071.4544120194,518.951358218594,-339.81585105676,12580.7415959401
"HR80_mins","sRPE_TL_exposure","RS","HR80_mins_between_z",21.3574986425687,10.8463492780325,1.96909560028874,0.0652777792218039,0.0990446938830587,42.6159525912544,0.564504020641064,0.640248971784516,15185.1454375164,15231.2002870449,2071.4544120194,518.951358218594,-339.81585105676,12580.7415959401
"HR80_mins","sRPE_TL_exposure","RS","context_fgame",-411.672001874395,16.5883490587279,-24.8169362976959,3.52295478539476e-110,-444.184568592481,-379.15943515631,0.564504020641064,0.640248971784516,15185.1454375164,15231.2002870449,2071.4544120194,518.951358218594,-339.81585105676,12580.7415959401
"HR80_mins","sRPE_TL_exposure","RS","HR80_mins_within_z:context_fgame",-106.8864610539,13.6179469577934,-7.84894091489546,9.27333113533123e-15,-133.577146634552,-80.1957754732486,0.564504020641064,0.640248971784516,15185.1454375164,15231.2002870449,2071.4544120194,518.951358218594,-339.81585105676,12580.7415959401
