"group","context","x","y","n","r","p"
"DEF_","all","sRPE","TRIMP_min",600,0.433,"< .001"
"DEF_","all","sRPE","HR_avg_pct_max",600,0.52,"< .001"
"DEF_","all","sRPE","HR80_pct_rd",600,0.446,"< .001"
"DEF_","all","sRPE","HR_peak",600,0.33,"< .001"
"DEF_","all","sRPE_TL_exposure","TRIMP",501,-0.031,"0.488"
"DEF_","all","sRPE_TL_exposure","HR80_mins",501,0.08,"0.075"
"DEF_","practice","sRPE","TRIMP_min",442,0.496,"< .001"
"DEF_","practice","sRPE","HR_avg_pct_max",442,0.495,"< .001"
"DEF_","practice","sRPE","HR80_pct_rd",442,0.496,"< .001"
"DEF_","practice","sRPE","HR_peak",442,0.234,"< .001"
"DEF_","practice","sRPE_TL_exposure","TRIMP",442,0.74,"< .001"
"DEF_","practice","sRPE_TL_exposure","HR80_mins",442,0.645,"< .001"
"DEF_","game","sRPE","TRIMP_min",158,0.322,"< .001"
"DEF_","game","sRPE","HR_avg_pct_max",158,0.328,"< .001"
"DEF_","game","sRPE","HR80_pct_rd",158,0.393,"< .001"
"DEF_","game","sRPE","HR_peak",158,0.227,"0.004"
"DEF_","game","sRPE_TL_exposure","TRIMP",59,0.232,"0.078"
"DEF_","game","sRPE_TL_exposure","HR80_mins",59,0.356,"0.006"
