"group","context","x","y","n_obs","n_subjects","r_rm","ci_lower","ci_upper","p"
"DEF_","all","sRPE","TRIMP_min",600,8,0.431,0.363,0.494,"< .001"
"DEF_","all","sRPE","HR_avg_pct_max",600,8,0.536,0.476,0.591,"< .001"
"DEF_","all","sRPE","HR80_pct_rd",600,8,0.452,0.385,0.513,"< .001"
"DEF_","all","sRPE","HR_peak",600,8,0.542,0.482,0.596,"< .001"
"DEF_","all","sRPE_TL_exposure","TRIMP",501,8,-0.044,-0.132,0.044,"0.33"
"DEF_","all","sRPE_TL_exposure","HR80_mins",501,8,0.087,-0.002,0.173,"0.055"
"DEF_","practice","sRPE","TRIMP_min",442,8,0.477,0.401,0.547,"< .001"
"DEF_","practice","sRPE","HR_avg_pct_max",442,8,0.474,0.398,0.544,"< .001"
"DEF_","practice","sRPE","HR80_pct_rd",442,8,0.502,0.429,0.569,"< .001"
"DEF_","practice","sRPE","HR_peak",442,8,0.391,0.308,0.468,"< .001"
"DEF_","practice","sRPE_TL_exposure","TRIMP",442,8,0.749,0.705,0.788,"< .001"
"DEF_","practice","sRPE_TL_exposure","HR80_mins",442,8,0.656,0.599,0.707,"< .001"
"DEF_","game","sRPE","TRIMP_min",158,8,0.352,0.204,0.484,"< .001"
"DEF_","game","sRPE","HR_avg_pct_max",158,8,0.41,0.268,0.535,"< .001"
"DEF_","game","sRPE","HR80_pct_rd",158,8,0.393,0.249,0.52,"< .001"
"DEF_","game","sRPE","HR_peak",158,8,0.037,-0.123,0.196,"0.648"
"DEF_","game","sRPE_TL_exposure","TRIMP",59,8,0.33,0.063,0.553,"0.017"
"DEF_","game","sRPE_TL_exposure","HR80_mins",59,8,0.518,0.285,0.693,"< .001"
