"model","outcome","model_type","term","estimate","std_error","t_value","p_value","ci_lower","ci_upper","R2_marginal","R2_conditional","AIC","BIC","random_intercept_var","random_slope_var","random_intercept_slope_cor","residual_var"
"TRIMP_min","sRPE","RI","(Intercept)",5.4677074807049,0.233610147264617,23.4052653308397,1.70374116220977e-09,5.00984000564315,5.92557495576665,0.262869363614697,0.4780263182678,2894.7237921483,2928.35609378874,0.558654422781188,NA,NA,1.35530318480858
"TRIMP_min","sRPE","RI","TRIMP_min_within_z",0.577565442443708,0.0421946005279066,13.6881362832602,7.71211771405738e-39,0.494865545066956,0.660265339820459,0.262869363614697,0.4780263182678,2894.7237921483,2928.35609378874,0.558654422781188,NA,NA,1.35530318480858
"TRIMP_min","sRPE","RI","TRIMP_min_between_z",0.156419086616306,0.227903881077458,0.68633796790474,0.509879123586713,-0.290264312232411,0.603102485465023,0.262869363614697,0.4780263182678,2894.7237921483,2928.35609378874,0.558654422781188,NA,NA,1.35530318480858
"TRIMP_min","sRPE","RI","context_fgame",1.22994315380605,0.0852240191182319,14.4318839516327,1.42648086639524e-42,1.06290714571656,1.39697916189553,0.262869363614697,0.4780263182678,2894.7237921483,2928.35609378874,0.558654422781188,NA,NA,1.35530318480858
"TRIMP_min","sRPE","RI","TRIMP_min_within_z:context_fgame",-0.149839230127609,0.103035912957313,-1.45424275698597,0.146231270491123,-0.351785908638147,0.0521074483829286,0.262869363614697,0.4780263182678,2894.7237921483,2928.35609378874,0.558654422781188,NA,NA,1.35530318480858
"HR_avg_pct_max","sRPE","RI","(Intercept)",5.58453989416863,0.23875227859591,23.3905197764437,1.67439702398482e-09,5.11659402689378,6.05248576144349,0.2680916692014,0.491924664535359,2880.14080051977,2913.77310216021,0.587003475997784,NA,NA,1.33243084890818
"HR_avg_pct_max","sRPE","RI","HR_avg_pct_max_within_z",0.656839032439467,0.0456644583245683,14.38403205773,2.49208646689585e-42,0.567338338749783,0.746339726129151,0.2680916692014,0.491924664535359,2880.14080051977,2913.77310216021,0.587003475997784,NA,NA,1.33243084890818
"HR_avg_pct_max","sRPE","RI","HR_avg_pct_max_between_z",0.144135716062017,0.218723884634928,0.658984803157617,0.526466360493578,-0.284555220381135,0.57282665250517,0.2680916692014,0.491924664535359,2880.14080051977,2913.77310216021,0.587003475997784,NA,NA,1.33243084890818
"HR_avg_pct_max","sRPE","RI","context_fgame",0.94692504071496,0.0933352408107348,10.1454180917059,5.85265879805786e-23,0.763991330237546,1.12985875119237,0.2680916692014,0.491924664535359,2880.14080051977,2913.77310216021,0.587003475997784,NA,NA,1.33243084890818
"HR_avg_pct_max","sRPE","RI","HR_avg_pct_max_within_z:context_fgame",-0.274107125059541,0.0980608525588215,-2.7952757691467,0.0052970790265066,-0.466302864368124,-0.0819113857509588,0.2680916692014,0.491924664535359,2880.14080051977,2913.77310216021,0.587003475997784,NA,NA,1.33243084890818
"HR80_pct_rd","sRPE","RI","(Intercept)",5.46567971882111,0.231625414975666,23.5970639033515,1.55922128527087e-09,5.01170224756466,5.91965719007756,0.260908225237364,0.471158680333958,2901.51425626272,2935.14655790316,0.543124277780649,NA,NA,1.36611623348078
"HR80_pct_rd","sRPE","RI","HR80_pct_rd_within_z",0.535032676573606,0.0402470687806275,13.2937054246082,6.55183814433983e-37,0.45614987128027,0.613915481866942,0.260908225237364,0.471158680333958,2901.51425626272,2935.14655790316,0.543124277780649,NA,NA,1.36611623348078
