"model","outcome","model_type","term","estimate","std_error","t_value","p_value","ci_lower","ci_upper","R2_marginal","R2_conditional","AIC","BIC","random_intercept_var","random_slope_var","random_intercept_slope_cor","residual_var"
"TRIMP","sRPE_TL_exposure","RI","(Intercept)",552.85739538443,21.7902221447604,25.3718108843313,2.15852142119045e-10,510.149344765573,595.565446003288,0.6192258829723,0.744041242475594,8817.29523852418,8849.46570212191,4789.78168447813,NA,NA,9822.40145484524
"TRIMP","sRPE_TL_exposure","RI","TRIMP_within_z",223.46825899854,8.37172506948012,26.6932152147726,1.08876353143518e-109,207.059979373888,239.876538623193,0.6192258829723,0.744041242475594,8817.29523852418,8849.46570212191,4789.78168447813,NA,NA,9822.40145484524
"TRIMP","sRPE_TL_exposure","RI","TRIMP_between_z",40.2645296133037,22.5728598315743,1.78375845655954,0.108159893992639,-3.97746268465272,84.5065219112602,0.6192258829723,0.744041242475594,8817.29523852418,8849.46570212191,4789.78168447813,NA,NA,9822.40145484524
"TRIMP","sRPE_TL_exposure","RI","context_fgame",-492.390627583339,27.9659545292221,-17.6067878201272,5.82895787409726e-58,-547.202891253899,-437.578363912779,0.6192258829723,0.744041242475594,8817.29523852418,8849.46570212191,4789.78168447813,NA,NA,9822.40145484524
"TRIMP","sRPE_TL_exposure","RI","TRIMP_within_z:context_fgame",-201.34269155756,21.0715870933931,-9.55517449469623,1.90049264187114e-20,-242.642243357709,-160.04313975741,0.6192258829723,0.744041242475594,8817.29523852418,8849.46570212191,4789.78168447813,NA,NA,9822.40145484524
"HR80_mins","sRPE_TL_exposure","RI","(Intercept)",483.959074499322,19.7781117776406,24.4694276147456,6.67385751460405e-10,445.19468773294,522.723461265705,0.547860407603947,0.652563714418097,9008.68876018037,9040.8592237781,3865.46540468713,NA,NA,12826.7481048492
"HR80_mins","sRPE_TL_exposure","RI","HR80_mins_within_z",125.599341754895,6.47447166955737,19.3991646214867,8.93778545750538e-68,112.909610463638,138.289073046152,0.547860407603947,0.652563714418097,9008.68876018037,9040.8592237781,3865.46540468713,NA,NA,12826.7481048492
"HR80_mins","sRPE_TL_exposure","RI","HR80_mins_between_z",21.8626957771799,19.1221175407813,1.14331980914529,0.282550021154724,-15.615965910893,59.3413574652528,0.547860407603947,0.652563714418097,9008.68876018037,9040.8592237781,3865.46540468713,NA,NA,12826.7481048492
"HR80_mins","sRPE_TL_exposure","RI","context_fgame",-413.493318008371,20.3183522379611,-20.3507308646729,4.65328068516068e-73,-453.316556619973,-373.670079396768,0.547860407603947,0.652563714418097,9008.68876018037,9040.8592237781,3865.46540468713,NA,NA,12826.7481048492
"HR80_mins","sRPE_TL_exposure","RI","HR80_mins_within_z:context_fgame",-101.239191698187,17.4104537342454,-5.81485085015648,9.12861535616917e-09,-135.363053971809,-67.115329424565,0.547860407603947,0.652563714418097,9008.68876018037,9040.8592237781,3865.46540468713,NA,NA,12826.7481048492
