"athlete_id","position_group","n_pair","r","ci_lo","ci_hi","pair","context"
"P01","Forward",89,0.495747589778708,0.320589394222432,0.638122759865658,"TRIMP/min vs sRPE","overall"
"P02","Forward",69,0.409177536825418,0.190993498101313,0.588833035012099,"TRIMP/min vs sRPE","overall"
"P03","Defenseman",91,0.419103430040317,0.233294764398019,0.575385494783673,"TRIMP/min vs sRPE","overall"
"P04","Defenseman",58,0.481503289730763,0.254910844179202,0.657967475147144,"TRIMP/min vs sRPE","overall"
"P05","Defenseman",61,0.527997739581459,0.318528844511259,0.688301388430605,"TRIMP/min vs sRPE","overall"
"P06","Forward",77,0.0688808347814045,-0.157528320252146,0.288410118949453,"TRIMP/min vs sRPE","overall"
"P07","Defenseman",86,0.478752816370341,0.297004406049397,0.627025261871141,"TRIMP/min vs sRPE","overall"
"P08","Defenseman",84,0.302849965440386,0.0945969198002096,0.485708314866149,"TRIMP/min vs sRPE","overall"
"P09","Defenseman",73,0.51854668331723,0.327557182293821,0.66882296383155,"TRIMP/min vs sRPE","overall"
"P10","Forward",71,0.553781927491629,0.368027066481223,0.697029831451165,"TRIMP/min vs sRPE","overall"
"P11","Forward",82,0.642820592363458,0.494842310710586,0.754568009343984,"TRIMP/min vs sRPE","overall"
"P12","Forward",86,0.53015296119813,0.35855252897392,0.667095854301841,"TRIMP/min vs sRPE","overall"
"P13","Forward",92,0.408003789949417,0.221714217701493,0.565559492676735,"TRIMP/min vs sRPE","overall"
"P14","Defenseman",62,0.424134821951359,0.195026866878246,0.609351169532252,"TRIMP/min vs sRPE","overall"
"P15","Forward",86,0.480213477438229,0.298732844046211,0.628174901833462,"TRIMP/min vs sRPE","overall"
"P16","Defenseman",85,0.415827671855067,0.222414615162356,0.577749889207724,"TRIMP/min vs sRPE","overall"
"P17","Forward",72,0.588355293605999,0.412976901607734,0.721659228249231,"TRIMP/min vs sRPE","overall"
"P18","Forward",88,0.213531878498372,0.00428108417146244,0.404867411441838,"TRIMP/min vs sRPE","overall"
"P19","Forward",90,0.350792396539443,0.154958386732445,0.520100310351348,"TRIMP/min vs sRPE","overall"
"P01","Forward",89,0.376592148665136,0.182661135033941,0.542316189326171,"%HR80 vs sRPE","overall"
"P02","Forward",69,0.446984881095709,0.235185046310979,0.61825835896795,"%HR80 vs sRPE","overall"
"P03","Defenseman",91,0.474418681924018,0.2975452163638,0.61980595717619,"%HR80 vs sRPE","overall"
"P04","Defenseman",58,0.531054776167747,0.316121078250601,0.694136411393092,"%HR80 vs sRPE","overall"
"P05","Defenseman",61,0.603588478764724,0.414818538485611,0.742545239657348,"%HR80 vs sRPE","overall"
