"Participant","Position","TRIMP/min vs sRPE","%HR80 vs sRPE","HRmean vs sRPE","HRpeak vs sRPE","TRIMP vs sRPE","HR80 mins vs sRPE","TRIMP vs sRPE-TL","HR80 mins vs sRPE-TL"
"P03","Defenseman","n=29; 0.09 [-0.28, 0.44]","n=29; 0.23 [-0.15, 0.55]","n=29; 0.22 [-0.16, 0.54]","n=29; 0.02 [-0.35, 0.39]","n=29; 0.09 [-0.29, 0.44]","n=29; 0.24 [-0.14, 0.56]","n=11; 0.28 [-0.39, 0.75]","n=11; 0.53 [-0.1, 0.86]"
"P04","Defenseman","n=8; 0.94 [0.72, 0.99]","n=8; 0.85 [0.36, 0.97]","n=8; 0.93 [0.67, 0.99]","n=8; 0.73 [0.05, 0.95]","n=8; 0.88 [0.45, 0.98]","n=8; 0.89 [0.48, 0.98]","n=1; insufficient","n=1; insufficient"
"P05","Defenseman","n=1; insufficient","n=1; insufficient","n=1; insufficient","n=1; insufficient","n=1; insufficient","n=1; insufficient","n=1; insufficient","n=1; insufficient"
"P07","Defenseman","n=27; 0.53 [0.18, 0.75]","n=27; 0.56 [0.23, 0.78]","n=27; 0.58 [0.25, 0.79]","n=27; -0.24 [-0.57, 0.15]","n=27; 0.44 [0.07, 0.7]","n=27; 0.52 [0.17, 0.75]","n=10; 0.66 [0.05, 0.91]","n=10; 0.7 [0.12, 0.92]"
"P08","Defenseman","n=24; 0.1 [-0.32, 0.48]","n=24; 0.19 [-0.23, 0.55]","n=24; 0.39 [-0.02, 0.68]","n=24; 0.13 [-0.29, 0.51]","n=24; 0.06 [-0.35, 0.45]","n=24; 0.14 [-0.28, 0.51]","n=10; 0.11 [-0.56, 0.69]","n=10; 0.26 [-0.44, 0.76]"
"P09","Defenseman","n=22; 0.23 [-0.21, 0.6]","n=22; 0.35 [-0.09, 0.67]","n=22; 0.22 [-0.22, 0.59]","n=22; -0.05 [-0.46, 0.38]","n=22; 0.11 [-0.33, 0.51]","n=22; 0.33 [-0.11, 0.66]","n=11; 0.11 [-0.53, 0.66]","n=11; 0.23 [-0.43, 0.73]"
"P14","Defenseman","n=22; 0.23 [-0.21, 0.59]","n=22; 0.28 [-0.16, 0.63]","n=22; 0.17 [-0.27, 0.55]","n=22; -0.15 [-0.54, 0.29]","n=22; 0.06 [-0.37, 0.47]","n=22; 0.29 [-0.15, 0.63]","n=5; 0.35 [-0.77, 0.94]","n=5; 0.8 [-0.27, 0.99]"
"P16","Defenseman","n=25; 0.42 [0.03, 0.7]","n=25; 0.5 [0.13, 0.75]","n=25; 0.44 [0.05, 0.71]","n=25; -0.02 [-0.41, 0.38]","n=25; 0.44 [0.06, 0.71]","n=25; 0.48 [0.1, 0.73]","n=10; 0.09 [-0.58, 0.68]","n=10; 0.39 [-0.32, 0.82]"
"P01","Forward","n=29; 0.43 [0.08, 0.69]","n=29; 0.47 [0.12, 0.71]","n=29; 0.37 [0, 0.65]","n=29; -0.04 [-0.4, 0.33]","n=29; 0.31 [-0.07, 0.61]","n=29; 0.44 [0.09, 0.7]","n=11; 0.34 [-0.33, 0.78]","n=11; 0.66 [0.09, 0.9]"
"P02","Forward","n=22; 0.6 [0.24, 0.82]","n=22; 0.45 [0.04, 0.73]","n=22; 0.5 [0.1, 0.76]","n=22; -0.01 [-0.43, 0.41]","n=22; 0.45 [0.03, 0.73]","n=22; 0.41 [-0.01, 0.71]","n=10; 0.66 [0.06, 0.91]","n=10; 0.67 [0.07, 0.91]"
"P06","Forward","n=21; 0.27 [-0.18, 0.63]","n=21; 0.37 [-0.08, 0.69]","n=21; 0.32 [-0.12, 0.66]","n=21; 0.45 [0.03, 0.74]","n=21; 0.16 [-0.29, 0.55]","n=21; 0.29 [-0.17, 0.64]","n=8; 0.31 [-0.51, 0.83]","n=8; 0.59 [-0.19, 0.92]"
"P10","Forward","n=21; 0.13 [-0.32, 0.53]","n=21; 0.2 [-0.26, 0.58]","n=21; 0.14 [-0.31, 0.54]","n=21; 0.21 [-0.25, 0.59]","n=21; 0.12 [-0.33, 0.52]","n=21; 0.21 [-0.25, 0.59]","n=9; 0.35 [-0.41, 0.82]","n=9; 0.61 [-0.09, 0.91]"
"P11","Forward","n=28; 0.17 [-0.22, 0.51]","n=28; 0.33 [-0.05, 0.62]","n=28; 0.31 [-0.07, 0.61]","n=28; 0.08 [-0.3, 0.44]","n=28; 0.24 [-0.15, 0.56]","n=28; 0.3 [-0.08, 0.61]","n=10; -0.19 [-0.73, 0.5]","n=10; 0.08 [-0.58, 0.68]"
"P12","Forward","n=28; 0.38 [0, 0.66]","n=28; 0.49 [0.15, 0.73]","n=28; 0.43 [0.07, 0.69]","n=28; 0.02 [-0.35, 0.39]","n=28; 0.36 [-0.01, 0.65]","n=28; 0.56 [0.24, 0.77]","n=10; 0.7 [0.12, 0.92]","n=10; 0.84 [0.44, 0.96]"
"P13","Forward","n=29; 0.16 [-0.21, 0.5]","n=29; 0.14 [-0.24, 0.48]","n=29; 0.15 [-0.22, 0.49]","n=29; 0.1 [-0.28, 0.45]","n=29; 0.04 [-0.33, 0.4]","n=29; 0.09 [-0.28, 0.44]","n=11; 0.26 [-0.4, 0.75]","n=11; 0.41 [-0.25, 0.81]"
"P15","Forward","n=27; 0.33 [-0.06, 0.63]","n=27; 0.54 [0.2, 0.76]","n=27; 0.25 [-0.15, 0.57]","n=27; 0.12 [-0.27, 0.48]","n=27; 0.4 [0.03, 0.68]","n=27; 0.46 [0.1, 0.71]","n=9; 0.91 [0.62, 0.98]","n=9; 0.86 [0.47, 0.97]"
"P17","Forward","n=11; 0.63 [0.04, 0.89]","n=11; 0.59 [-0.02, 0.88]","n=11; 0.67 [0.13, 0.91]","n=11; 0.24 [-0.42, 0.73]","n=11; 0.59 [-0.02, 0.88]","n=11; 0.57 [-0.04, 0.87]","n=2; insufficient","n=2; insufficient"
"P18","Forward","n=25; 0.66 [0.36, 0.84]","n=25; 0.61 [0.28, 0.81]","n=25; 0.59 [0.25, 0.8]","n=25; 0.23 [-0.18, 0.57]","n=25; 0.48 [0.11, 0.74]","n=25; 0.58 [0.24, 0.79]","n=8; 0.36 [-0.47, 0.85]","n=8; 0.5 [-0.32, 0.89]"
"P19","Forward","n=28; 0.12 [-0.26, 0.47]","n=28; 0.2 [-0.19, 0.53]","n=28; 0.04 [-0.34, 0.41]","n=28; 0.11 [-0.28, 0.46]","n=28; -0.06 [-0.42, 0.32]","n=28; 0.17 [-0.22, 0.51]","n=11; 0.34 [-0.33, 0.78]","n=11; 0.59 [-0.01, 0.88]"
"Defenseman Mean [+/-1SD]","Defenseman","k=7; 0.36 [0.06, 0.67]","k=7; 0.42 [0.19, 0.66]","k=7; 0.42 [0.15, 0.69]","k=7; 0.06 [-0.26, 0.38]","k=7; 0.3 [-0.01, 0.6]","k=7; 0.41 [0.16, 0.66]","k=6; 0.26 [0.04, 0.48]","k=6; 0.48 [0.25, 0.72]"
"Forward Mean [+/-1SD]","Forward","k=11; 0.35 [0.15, 0.56]","k=11; 0.4 [0.23, 0.56]","k=11; 0.34 [0.15, 0.54]","k=11; 0.14 [0, 0.28]","k=11; 0.28 [0.08, 0.48]","k=11; 0.37 [0.2, 0.54]","k=10; 0.4 [0.1, 0.7]","k=10; 0.58 [0.36, 0.8]"
"All Skaters Mean [+/-1SD]","All","k=18; 0.36 [0.12, 0.6]","k=18; 0.41 [0.22, 0.59]","k=18; 0.37 [0.15, 0.6]","k=18; 0.11 [-0.11, 0.33]","k=18; 0.29 [0.05, 0.53]","k=18; 0.39 [0.19, 0.59]","k=16; 0.35 [0.08, 0.62]","k=16; 0.54 [0.32, 0.77]"
"All Skaters rmcorr","All Skaters rmcorr","n=427; 0.364 [0.277, 0.445]","n=427; 0.393 [0.308, 0.472]","n=427; 0.366 [0.279, 0.447]","n=427; 0.075 [-0.022, 0.171]","n=427; 0.294 [0.203, 0.381]","n=427; 0.372 [0.285, 0.453]","n=158; 0.407 [0.259, 0.537]","n=158; 0.567 [0.443, 0.67]"
"Forwards rmcorr","Forwards rmcorr","n=269; 0.373 [0.263, 0.473]","n=269; 0.396 [0.288, 0.494]","n=269; 0.348 [0.236, 0.45]","n=269; 0.094 [-0.029, 0.213]","n=269; 0.299 [0.184, 0.406]","n=269; 0.37 [0.26, 0.471]","n=99; 0.462 [0.281, 0.612]","n=99; 0.602 [0.45, 0.72]"
