"Participant","Position","TRIMP/min vs sRPE","%HR80 vs sRPE","HRmean vs sRPE","HRpeak vs sRPE","TRIMP vs sRPE","HR80 mins vs sRPE","TRIMP vs sRPE-TL","HR80 mins vs sRPE-TL"
"P03","Defenseman","n=91; 0.42 [0.23, 0.58]","n=91; 0.47 [0.3, 0.62]","n=91; 0.56 [0.4, 0.68]","n=91; 0.6 [0.45, 0.72]","n=91; 0.75 [0.65, 0.83]","n=91; 0.76 [0.66, 0.83]","n=73; -0.24 [-0.44, -0.01]","n=73; -0.18 [-0.39, 0.05]"
"P04","Defenseman","n=58; 0.48 [0.25, 0.66]","n=58; 0.53 [0.32, 0.69]","n=58; 0.62 [0.42, 0.75]","n=58; 0.49 [0.26, 0.66]","n=58; 0.77 [0.63, 0.86]","n=58; 0.77 [0.64, 0.86]","n=51; 0.26 [-0.02, 0.5]","n=51; 0.23 [-0.04, 0.48]"
"P05","Defenseman","n=61; 0.53 [0.32, 0.69]","n=61; 0.6 [0.41, 0.74]","n=61; 0.55 [0.34, 0.7]","n=61; 0.47 [0.24, 0.64]","n=61; 0.76 [0.63, 0.85]","n=61; 0.77 [0.64, 0.86]","n=61; 0.61 [0.42, 0.75]","n=61; 0.64 [0.46, 0.77]"
"P07","Defenseman","n=86; 0.48 [0.3, 0.63]","n=86; 0.43 [0.24, 0.59]","n=86; 0.61 [0.46, 0.73]","n=86; 0.54 [0.37, 0.68]","n=86; 0.69 [0.56, 0.79]","n=86; 0.74 [0.62, 0.82]","n=69; 0.03 [-0.21, 0.26]","n=69; 0.18 [-0.06, 0.4]"
"P08","Defenseman","n=84; 0.3 [0.09, 0.49]","n=84; 0.33 [0.12, 0.51]","n=84; 0.45 [0.26, 0.6]","n=84; 0.4 [0.2, 0.57]","n=84; 0.57 [0.41, 0.7]","n=84; 0.56 [0.4, 0.69]","n=70; -0.27 [-0.47, -0.04]","n=70; -0.12 [-0.35, 0.12]"
"P09","Defenseman","n=73; 0.52 [0.33, 0.67]","n=73; 0.36 [0.14, 0.55]","n=73; 0.56 [0.38, 0.7]","n=73; 0.54 [0.35, 0.68]","n=73; 0.56 [0.38, 0.7]","n=73; 0.61 [0.44, 0.74]","n=62; -0.4 [-0.59, -0.17]","n=62; -0.28 [-0.49, -0.03]"
"P14","Defenseman","n=62; 0.42 [0.2, 0.61]","n=62; 0.54 [0.33, 0.69]","n=62; 0.51 [0.29, 0.67]","n=62; 0.53 [0.32, 0.69]","n=62; 0.6 [0.41, 0.74]","n=62; 0.72 [0.58, 0.82]","n=45; 0.25 [-0.04, 0.51]","n=45; 0.46 [0.19, 0.66]"
"P16","Defenseman","n=85; 0.42 [0.22, 0.58]","n=85; 0.45 [0.27, 0.61]","n=85; 0.51 [0.34, 0.65]","n=85; 0.74 [0.63, 0.82]","n=85; 0.8 [0.71, 0.87]","n=85; 0.81 [0.72, 0.87]","n=70; -0.11 [-0.34, 0.13]","n=70; 0.05 [-0.19, 0.28]"
"P01","Forward","n=89; 0.5 [0.32, 0.64]","n=89; 0.38 [0.18, 0.54]","n=89; 0.56 [0.39, 0.68]","n=89; 0.39 [0.19, 0.55]","n=89; 0.55 [0.39, 0.68]","n=89; 0.6 [0.44, 0.72]","n=71; -0.42 [-0.59, -0.2]","n=71; -0.21 [-0.42, 0.03]"
"P02","Forward","n=69; 0.41 [0.19, 0.59]","n=69; 0.45 [0.24, 0.62]","n=69; 0.44 [0.23, 0.62]","n=69; 0.08 [-0.16, 0.31]","n=69; 0.33 [0.11, 0.53]","n=69; 0.45 [0.24, 0.62]","n=57; -0.33 [-0.54, -0.07]","n=57; -0.1 [-0.36, 0.16]"
"P06","Forward","n=77; 0.07 [-0.16, 0.29]","n=77; 0.11 [-0.12, 0.32]","n=77; 0.32 [0.1, 0.51]","n=77; 0.6 [0.43, 0.72]","n=77; 0.71 [0.58, 0.81]","n=77; 0.65 [0.5, 0.76]","n=64; -0.25 [-0.46, 0]","n=64; -0.13 [-0.37, 0.12]"
"P10","Forward","n=71; 0.55 [0.37, 0.7]","n=71; 0.51 [0.31, 0.66]","n=71; 0.59 [0.42, 0.72]","n=71; 0.69 [0.55, 0.8]","n=71; 0.62 [0.45, 0.74]","n=71; 0.65 [0.49, 0.77]","n=59; -0.36 [-0.56, -0.11]","n=59; -0.13 [-0.38, 0.13]"
"P11","Forward","n=82; 0.64 [0.49, 0.75]","n=82; 0.63 [0.48, 0.75]","n=82; 0.73 [0.61, 0.82]","n=82; 0.7 [0.58, 0.8]","n=82; 0.74 [0.62, 0.82]","n=82; 0.76 [0.64, 0.84]","n=64; -0.25 [-0.46, 0]","n=64; -0.12 [-0.35, 0.13]"
"P12","Forward","n=86; 0.53 [0.36, 0.67]","n=86; 0.51 [0.34, 0.65]","n=86; 0.58 [0.43, 0.71]","n=86; 0.54 [0.37, 0.68]","n=86; 0.56 [0.4, 0.69]","n=86; 0.66 [0.52, 0.77]","n=68; -0.23 [-0.44, 0.01]","n=68; -0.03 [-0.27, 0.21]"
"P13","Forward","n=92; 0.41 [0.22, 0.57]","n=92; 0.45 [0.28, 0.6]","n=92; 0.59 [0.44, 0.71]","n=92; 0.6 [0.45, 0.72]","n=92; 0.62 [0.48, 0.73]","n=92; 0.71 [0.59, 0.8]","n=74; 0.06 [-0.18, 0.28]","n=74; 0.31 [0.09, 0.5]"
"P15","Forward","n=86; 0.48 [0.3, 0.63]","n=86; 0.45 [0.26, 0.6]","n=86; 0.51 [0.33, 0.65]","n=86; 0.36 [0.16, 0.53]","n=86; 0.47 [0.29, 0.62]","n=86; 0.57 [0.4, 0.7]","n=68; -0.28 [-0.48, -0.04]","n=68; -0.04 [-0.28, 0.2]"
"P17","Forward","n=72; 0.59 [0.41, 0.72]","n=72; 0.65 [0.49, 0.76]","n=72; 0.64 [0.48, 0.76]","n=72; 0.48 [0.28, 0.64]","n=72; 0.58 [0.41, 0.72]","n=72; 0.67 [0.52, 0.78]","n=63; 0.41 [0.18, 0.6]","n=63; 0.53 [0.33, 0.69]"
"P18","Forward","n=88; 0.21 [0, 0.4]","n=88; 0.16 [-0.05, 0.36]","n=88; 0.38 [0.19, 0.55]","n=88; 0.61 [0.46, 0.73]","n=88; 0.79 [0.69, 0.86]","n=88; 0.72 [0.6, 0.81]","n=71; -0.09 [-0.32, 0.15]","n=71; 0.1 [-0.13, 0.33]"
"P19","Forward","n=90; 0.35 [0.15, 0.52]","n=90; 0.45 [0.27, 0.6]","n=90; 0.43 [0.25, 0.59]","n=90; 0.5 [0.33, 0.64]","n=90; 0.51 [0.34, 0.65]","n=90; 0.57 [0.41, 0.69]","n=73; -0.25 [-0.46, -0.02]","n=73; -0.12 [-0.34, 0.11]"
"Defenseman Mean [+/-1SD]","Defenseman","k=8; 0.45 [0.37, 0.52]","k=8; 0.47 [0.37, 0.56]","k=8; 0.54 [0.49, 0.6]","k=8; 0.54 [0.44, 0.64]","k=8; 0.69 [0.59, 0.79]","k=8; 0.72 [0.63, 0.8]","k=8; 0.02 [-0.32, 0.35]","k=8; 0.12 [-0.2, 0.44]"
"Forward Mean [+/-1SD]","Forward","k=11; 0.43 [0.26, 0.6]","k=11; 0.43 [0.26, 0.6]","k=11; 0.53 [0.4, 0.65]","k=11; 0.51 [0.33, 0.68]","k=11; 0.59 [0.46, 0.72]","k=11; 0.64 [0.55, 0.72]","k=11; -0.18 [-0.41, 0.05]","k=11; 0.01 [-0.22, 0.23]"
"All Skaters Mean [+/-1SD]","All","k=19; 0.44 [0.3, 0.57]","k=19; 0.45 [0.31, 0.58]","k=19; 0.53 [0.44, 0.63]","k=19; 0.52 [0.37, 0.67]","k=19; 0.63 [0.51, 0.76]","k=19; 0.67 [0.58, 0.77]","k=19; -0.1 [-0.39, 0.19]","k=19; 0.06 [-0.21, 0.32]"
"All Skaters rmcorr","All Skaters rmcorr","n=1502; 0.419 [0.376, 0.46]","n=1502; 0.418 [0.375, 0.459]","n=1502; 0.521 [0.483, 0.557]","n=1502; 0.485 [0.445, 0.523]","n=1502; 0.622 [0.589, 0.652]","n=1502; 0.658 [0.629, 0.686]","n=1233; -0.139 [-0.194, -0.084]","n=1233; 0.03 [-0.026, 0.087]"
"Forwards rmcorr","Forwards rmcorr","n=902; 0.411 [0.355, 0.464]","n=902; 0.399 [0.342, 0.453]","n=902; 0.512 [0.462, 0.559]","n=902; 0.453 [0.399, 0.503]","n=902; 0.583 [0.538, 0.625]","n=902; 0.627 [0.585, 0.665]","n=732; -0.204 [-0.273, -0.133]","n=732; -0.009 [-0.081, 0.064]"
"Defensemen rmcorr","Defensemen rmcorr","n=600; 0.431 [0.363, 0.494]","n=600; 0.452 [0.385, 0.513]","n=600; 0.536 [0.476, 0.591]","n=600; 0.542 [0.482, 0.596]","n=600; 0.677 [0.631, 0.718]","n=600; 0.702 [0.659, 0.741]","n=501; -0.044 [-0.132, 0.044]","n=501; 0.087 [-0.002, 0.173]"
