"Participant","Position","%HR80 vs sRPE","HR80 mins vs sRPE","HR80 mins vs sRPE-TL","TRIMP vs sRPE","TRIMP vs sRPE-TL","TRIMP/min vs sRPE","n_athletes"
"P03","Defenseman","0.47 [0.3, 0.62]","0.76 [0.66, 0.83]","0.87 [0.81, 0.91]","0.75 [0.65, 0.83]","0.89 [0.84, 0.93]","0.42 [0.23, 0.58]",NA
"P04","Defenseman","0.53 [0.32, 0.69]","0.77 [0.64, 0.86]","0.79 [0.66, 0.87]","0.77 [0.63, 0.86]","0.89 [0.81, 0.93]","0.48 [0.25, 0.66]",NA
"P05","Defenseman","0.6 [0.41, 0.74]","0.77 [0.64, 0.86]","0.75 [0.62, 0.84]","0.76 [0.63, 0.85]","0.87 [0.79, 0.92]","0.53 [0.32, 0.69]",NA
"P07","Defenseman","0.43 [0.24, 0.59]","0.74 [0.62, 0.82]","0.82 [0.73, 0.88]","0.69 [0.56, 0.79]","0.91 [0.86, 0.94]","0.48 [0.3, 0.63]",NA
"P08","Defenseman","0.33 [0.12, 0.51]","0.56 [0.4, 0.69]","0.81 [0.73, 0.88]","0.57 [0.41, 0.7]","0.91 [0.87, 0.94]","0.3 [0.09, 0.49]",NA
"P09","Defenseman","0.65 [0.43, 0.8]","0.78 [0.62, 0.88]","0.85 [0.73, 0.92]","0.72 [0.54, 0.84]","0.94 [0.89, 0.97]","0.64 [0.42, 0.79]",NA
"P10","Defenseman","0.36 [0.14, 0.55]","0.61 [0.44, 0.74]","0.77 [0.65, 0.85]","0.56 [0.38, 0.7]","0.9 [0.85, 0.94]","0.52 [0.33, 0.67]",NA
"P15","Defenseman","0.54 [0.33, 0.69]","0.72 [0.58, 0.82]","0.7 [0.55, 0.81]","0.6 [0.41, 0.74]","0.86 [0.77, 0.91]","0.42 [0.2, 0.61]",NA
"P18","Defenseman","0.45 [0.27, 0.61]","0.81 [0.72, 0.87]","0.86 [0.79, 0.91]","0.8 [0.71, 0.87]","0.94 [0.9, 0.96]","0.42 [0.22, 0.58]",NA
"P01","Forward","0.38 [0.18, 0.54]","0.6 [0.44, 0.72]","0.76 [0.66, 0.84]","0.55 [0.39, 0.68]","0.9 [0.85, 0.93]","0.5 [0.32, 0.64]",NA
"P02","Forward","0.45 [0.24, 0.62]","0.45 [0.24, 0.62]","0.71 [0.57, 0.81]","0.33 [0.11, 0.53]","0.84 [0.76, 0.9]","0.41 [0.19, 0.59]",NA
"P06","Forward","0.11 [-0.12, 0.32]","0.65 [0.5, 0.76]","0.74 [0.62, 0.83]","0.71 [0.58, 0.81]","0.91 [0.87, 0.94]","0.07 [-0.16, 0.29]",NA
"P11","Forward","0.51 [0.31, 0.66]","0.65 [0.49, 0.77]","0.76 [0.64, 0.85]","0.62 [0.45, 0.74]","0.88 [0.82, 0.93]","0.55 [0.37, 0.7]",NA
"P12","Forward","0.63 [0.48, 0.75]","0.76 [0.64, 0.84]","0.89 [0.84, 0.93]","0.74 [0.62, 0.82]","0.94 [0.91, 0.96]","0.64 [0.49, 0.75]",NA
"P13","Forward","0.51 [0.34, 0.65]","0.66 [0.52, 0.77]","0.86 [0.79, 0.91]","0.56 [0.4, 0.69]","0.89 [0.84, 0.93]","0.53 [0.36, 0.67]",NA
"P14","Forward","0.45 [0.28, 0.6]","0.71 [0.59, 0.8]","0.78 [0.69, 0.85]","0.62 [0.48, 0.73]","0.88 [0.83, 0.92]","0.41 [0.22, 0.57]",NA
"P16","Forward","0.45 [0.26, 0.6]","0.57 [0.4, 0.7]","0.8 [0.7, 0.86]","0.47 [0.29, 0.62]","0.88 [0.83, 0.92]","0.48 [0.3, 0.63]",NA
"P17","Forward","0.46 [0.17, 0.68]","0.55 [0.28, 0.74]","0.5 [0.22, 0.71]","0.46 [0.17, 0.68]","0.83 [0.69, 0.91]","0.47 [0.18, 0.68]",NA
"P19","Forward","0.65 [0.49, 0.76]","0.67 [0.52, 0.78]","0.61 [0.44, 0.74]","0.58 [0.41, 0.72]","0.79 [0.68, 0.86]","0.59 [0.41, 0.72]",NA
"P20","Forward","-0.04 [-0.32, 0.25]","0.4 [0.13, 0.62]","0.51 [0.26, 0.7]","0.56 [0.33, 0.73]","0.79 [0.65, 0.88]","0.08 [-0.21, 0.36]",NA
"P21","Forward","0.16 [-0.05, 0.36]","0.72 [0.6, 0.81]","0.66 [0.52, 0.76]","0.79 [0.69, 0.86]","0.88 [0.82, 0.92]","0.21 [0, 0.4]",NA
"P22","Forward","0.45 [0.27, 0.6]","0.57 [0.41, 0.69]","0.79 [0.7, 0.86]","0.51 [0.34, 0.65]","0.86 [0.79, 0.9]","0.35 [0.15, 0.52]",NA
"P23","Forward","0.36 [0.11, 0.58]","0.76 [0.62, 0.86]","0.74 [0.59, 0.84]","0.72 [0.55, 0.83]","0.9 [0.84, 0.94]","0.47 [0.24, 0.66]",NA
"Defenseman Mean [±1SD]","Defenseman","0.49 [0.38, 0.59]","0.73 [0.64, 0.81]","0.8 [0.75, 0.86]","0.69 [0.6, 0.78]","0.9 [0.87, 0.93]","0.47 [0.37, 0.56]",NA
"Forward Mean [±1SD]","Forward","0.4 [0.2, 0.59]","0.62 [0.51, 0.73]","0.72 [0.61, 0.84]","0.59 [0.46, 0.71]","0.87 [0.83, 0.92]","0.41 [0.23, 0.59]",NA
"All Skaters Mean [±1SD]","All","0.43 [0.26, 0.6]","0.66 [0.55, 0.77]","0.75 [0.65, 0.86]","0.63 [0.51, 0.75]","0.88 [0.84, 0.92]","0.43 [0.28, 0.58]",23
"All Skaters","All Skaters","rmcorr = 0.41 [0.369, 0.449]","rmcorr = 0.652 [0.624, 0.679]","rmcorr = 0.767 [0.747, 0.786]","rmcorr = 0.622 [0.592, 0.651]","rmcorr = 0.883 [0.872, 0.893]","rmcorr = 0.417 [0.377, 0.456]",NA
"Forwards","Forwards","rmcorr = 0.378 [0.324, 0.429]","rmcorr = 0.619 [0.58, 0.655]","rmcorr = 0.742 [0.714, 0.769]","rmcorr = 0.586 [0.545, 0.625]","rmcorr = 0.873 [0.858, 0.887]","rmcorr = 0.398 [0.345, 0.448]",NA
"Defensemen","Defensemen","rmcorr = 0.466 [0.403, 0.525]","rmcorr = 0.702 [0.66, 0.739]","rmcorr = 0.804 [0.775, 0.83]","rmcorr = 0.677 [0.632, 0.717]","rmcorr = 0.898 [0.882, 0.912]","rmcorr = 0.449 [0.384, 0.509]",NA
