"Participant","Position","TRIMP/min vs sRPE","%HR80 vs sRPE","HRmean vs sRPE","HRpeak vs sRPE","TRIMP vs sRPE","HR80 mins vs sRPE","TRIMP vs sRPE-TL","HR80 mins vs sRPE-TL"
"P03","Defenseman","n=62; 0.23 [-0.02, 0.46]","n=62; 0.31 [0.06, 0.52]","n=62; 0.26 [0.01, 0.48]","n=62; 0.21 [-0.04, 0.44]","n=62; 0.47 [0.25, 0.64]","n=62; 0.47 [0.25, 0.64]","n=62; 0.55 [0.35, 0.71]","n=62; 0.51 [0.3, 0.68]"
"P04","Defenseman","n=50; 0.49 [0.24, 0.67]","n=50; 0.51 [0.27, 0.69]","n=50; 0.52 [0.28, 0.7]","n=50; 0.26 [-0.02, 0.5]","n=50; 0.73 [0.56, 0.84]","n=50; 0.68 [0.49, 0.8]","n=50; 0.83 [0.71, 0.9]","n=50; 0.67 [0.49, 0.8]"
"P05","Defenseman","n=60; 0.55 [0.34, 0.7]","n=60; 0.62 [0.43, 0.76]","n=60; 0.54 [0.34, 0.7]","n=60; 0.45 [0.22, 0.63]","n=60; 0.77 [0.64, 0.85]","n=60; 0.76 [0.63, 0.85]","n=60; 0.84 [0.74, 0.9]","n=60; 0.75 [0.62, 0.84]"
"P07","Defenseman","n=59; 0.64 [0.45, 0.77]","n=59; 0.57 [0.37, 0.72]","n=59; 0.65 [0.47, 0.77]","n=59; 0.51 [0.29, 0.68]","n=59; 0.73 [0.59, 0.83]","n=59; 0.72 [0.57, 0.83]","n=59; 0.79 [0.67, 0.87]","n=59; 0.72 [0.56, 0.82]"
"P08","Defenseman","n=60; 0.26 [0.01, 0.49]","n=60; 0.28 [0.03, 0.5]","n=60; 0.28 [0.02, 0.49]","n=60; 0.15 [-0.1, 0.39]","n=60; 0.47 [0.25, 0.65]","n=60; 0.44 [0.21, 0.63]","n=60; 0.63 [0.45, 0.76]","n=60; 0.49 [0.26, 0.66]"
"P09","Defenseman","n=51; 0.59 [0.38, 0.75]","n=51; 0.48 [0.23, 0.67]","n=51; 0.57 [0.35, 0.73]","n=51; 0.52 [0.28, 0.69]","n=51; 0.68 [0.49, 0.8]","n=51; 0.64 [0.45, 0.78]","n=51; 0.72 [0.56, 0.83]","n=51; 0.6 [0.39, 0.75]"
"P14","Defenseman","n=40; 0.67 [0.45, 0.81]","n=40; 0.74 [0.56, 0.86]","n=40; 0.68 [0.47, 0.82]","n=40; 0.58 [0.33, 0.75]","n=40; 0.8 [0.65, 0.89]","n=40; 0.81 [0.66, 0.89]","n=40; 0.87 [0.77, 0.93]","n=40; 0.82 [0.68, 0.9]"
"P16","Defenseman","n=60; 0.46 [0.24, 0.64]","n=60; 0.54 [0.33, 0.7]","n=60; 0.44 [0.21, 0.62]","n=60; 0.61 [0.42, 0.75]","n=60; 0.66 [0.49, 0.79]","n=60; 0.66 [0.49, 0.79]","n=60; 0.75 [0.62, 0.85]","n=60; 0.68 [0.51, 0.8]"
"P01","Forward","n=60; 0.5 [0.28, 0.67]","n=60; 0.38 [0.14, 0.58]","n=60; 0.52 [0.31, 0.68]","n=60; 0.25 [0, 0.48]","n=60; 0.58 [0.38, 0.73]","n=60; 0.51 [0.29, 0.68]","n=60; 0.65 [0.47, 0.77]","n=60; 0.42 [0.18, 0.61]"
"P02","Forward","n=47; 0.39 [0.12, 0.61]","n=47; 0.47 [0.21, 0.67]","n=47; 0.44 [0.18, 0.65]","n=47; 0.07 [-0.22, 0.35]","n=47; 0.56 [0.32, 0.73]","n=47; 0.57 [0.34, 0.74]","n=47; 0.59 [0.37, 0.75]","n=47; 0.47 [0.21, 0.67]"
